,text,date,sentiment,score
0,Doge is going craY,2021-05-01,neg,0.7927972078323364
1,Sell target of doge,2021-05-01,neg,0.9599321484565735
2,Doge,2021-05-01,pos,0.5364559888839722
3,Dogecoin!!! Que hago?,2021-05-01,neg,0.7536581158638
4,"Anyway, is doge a good crypto for long term investment?",2021-05-01,neg,0.5770989656448364
5,Doge target ,2021-05-01,pos,0.6084284782409668
6,Who else going to mars With doge,2021-05-01,pos,0.9919769167900085
7,Doge to the moon,2021-05-01,pos,0.8068202137947083
8,Doge is dompig ,2021-05-01,neg,0.6165496706962585
9,Doge  ,2021-05-01,pos,0.5364559888839722
10,Doge is gonna rise,2021-05-01,neg,0.6304094195365906
11,What did yall say about doge?,2021-05-01,pos,0.7780298590660095
12,Thoughts on Doge Coin,2021-05-01,pos,0.5759071111679077
13,I staked CRO for Doge coin and was allocated 15.5 coins. I accepted but not dispersed. Why ?,2021-05-01,neg,0.991224467754364
14,Anyone think doge will take anymore major dips before Saturday night Live?,2021-05-01,pos,0.7398413419723511
15,"Have you checked your exchange account for the issued doge, if so you will have to contact support",2021-05-01,neg,0.9079016447067261
16,Has someone Supercharger on Crypto com done? The doge has already been paid because I still have funds from this charger blocked and I have not received a single dog so far.,2021-05-01,neg,0.9938384890556335
17,Didnt get my doge rewards why?,2021-05-01,neg,0.9895467162132263
18,Supercharger Doge coins still not released???? How can i trust to supercharge now??,2021-05-01,neg,0.8261571526527405
19,Doge,2021-05-01,pos,0.5364559888839722
20,Buy doge,2021-05-01,neg,0.7023434638977051
21,Please reduce transfer fees of doge,2021-05-01,neg,0.9829699993133545
22,It's elon musk tweet on doge coin,2021-05-01,pos,0.5696545839309692
23,Can i buy a doge,2021-05-01,neg,0.5471876263618469
24,Someone asked for doge coin growth,2021-05-01,neg,0.821622908115387
25,I'm regretting now why I sold my doge,2021-05-01,neg,0.9515084624290466
26,Doge coin,2021-05-01,pos,0.7065467238426208
27,"If DOGE is more worth than CRO for now, who knows what CRO will do in the future",2021-05-01,pos,0.6479466557502747
28,"Doge coin has an army, but they're no match for the mafia CRO is building",2021-05-01,neg,0.9801755547523499
29,"I agree, but doge coin has an army. CRO is building a mafia",2021-05-01,neg,0.7336117625236511
30,Shall I buy doge now?,2021-05-01,neg,0.8724571466445923
31,Doge to the moon,2021-05-01,pos,0.8068202137947083
32,Shoud i sell? Doge?,2021-05-01,neg,0.7934684753417969
33,Did you check Dogelon?,2021-05-01,neg,0.6725654602050781
34,"Be patient, Doge will go to $ 1.",2021-05-01,neg,0.8508228659629822
35,What about doge coin,2021-05-01,pos,0.7263206243515015
36,when you buy a crypto you buy its rarity ... the dogecoin there will be infinite,2021-05-01,pos,0.5742844343185425
37,Yet again dogecoin hit ATH,2021-05-01,neg,0.808714747428894
38,What about Doge coin,2021-05-01,pos,0.6837935447692871
39,For beginning i want to buy xrp or dogecoin which one is better guys to make more money?,2021-05-01,neg,0.9370835423469543
40,Ofc doge,2021-05-01,pos,0.7005608081817627
41,I seen my mate buy 1k worth of arrr and turn it Into 49k  another guy bought doge made similar gains off that.. mine just pretty much stays the same lol,2021-05-01,neg,0.6579597592353821
42,HOW ABOUT DOGE???,2021-05-01,neg,0.8762508630752563
43,Will doge hit 1$?,2021-05-01,neg,0.9302546977996826
44,Lol I'm here to find coins definitely not shill doge ,2021-05-01,neg,0.920028567314148
45,Doge coin is good day,2021-05-01,pos,0.939227819442749
46,"That's bet, if you're in a haste to accumulate much profit then you've to look for coins with strong momentum like doge ,or you could probably engage in bitcoin mining,anyone",2021-05-01,neg,0.8962252140045166
47,Any update about dogecoin,2021-05-01,pos,0.6527798771858215
48,Doge,2021-05-02,pos,0.5364559888839722
49,I just buy 300doge,2021-05-02,pos,0.7757691144943237
50,will doge coins return ATH?,2021-05-02,neg,0.942084550857544
51,Plz doge up or down now,2021-05-02,neg,0.6424277424812317
52,What opinion do you have about DogeCoin ?,2021-05-02,pos,0.7655686140060425
53,Deposit Processing time for dogecoin ?,2021-05-02,neg,0.9685521721839905
54,Deposit Processing time for dogecoin ?,2021-05-02,neg,0.9685521721839905
